Unnamed: 0,runstring,t
0,0000000.bin,10269013185.334959
1,0000001.bin,231956516.70881733
2,0000002.bin,1181690917.607703
3,0000003.bin,17641257328.673225
4,0000004.bin,406329030.0731228
5,0000005.bin,13508909843.110796
6,0000006.bin,1055298118.7584418
7,0000007.bin,1984151087.6334045
8,0000008.bin,
9,0000009.bin,214437770.50392112
10,0000010.bin,6459752748.4954
11,0000011.bin,10995902.704166632
12,0000012.bin,575136731.6337273
13,0000013.bin,
14,0000014.bin,168567608.3756777
15,0000015.bin,9682078375.189432
16,0000016.bin,1650698998.0027761
17,0000017.bin,12832943.958408684
18,0000018.bin,
19,0000019.bin,
20,0000020.bin,77223442.0228855
21,0000021.bin,5899697615.610666
22,0000022.bin,8759295383.568735
23,0000023.bin,9070447592.848274
24,0000024.bin,5302484488.132468
25,0000025.bin,19534208999.28477
26,0000026.bin,
27,0000027.bin,1102107933.168287
28,0000028.bin,6404114173.573234
29,0000029.bin,215211708.8166682
30,0000030.bin,738475616.8199912
31,0000031.bin,123095547.16913682
32,0000032.bin,141331418.30723923
33,0000033.bin,2435510254.9732537
34,0000034.bin,9092449839.444399
35,0000035.bin,12876337793.050789
36,0000036.bin,
37,0000037.bin,10746464959.797503
38,0000038.bin,12039266.825446175
39,0000039.bin,60652683.40191206
40,0000040.bin,3358124759.485931
41,0000041.bin,4330443869.830533
42,0000042.bin,28323578.845581397
43,0000043.bin,10260890.562523972
44,0000044.bin,19346542999.928104
45,0000045.bin,12505026.71884568
46,0000046.bin,15094850691.407726
47,0000047.bin,79256971.16809998
48,0000048.bin,14838563517.295141
49,0000049.bin,146180863.10877785
50,0000050.bin,195353493.94711462
51,0000051.bin,77554495.7672779
52,0000052.bin,5648204942.05059
53,0000053.bin,12760282.987084461
54,0000054.bin,
55,0000055.bin,17758532817.71746
56,0000056.bin,16803594.407985575
57,0000057.bin,39994482.73130402
58,0000058.bin,
59,0000059.bin,13663495135.073652
60,0000060.bin,
61,0000061.bin,9364179799.996132
62,0000062.bin,
63,0000063.bin,
64,0000064.bin,12154418219.963675
65,0000065.bin,
66,0000066.bin,2059345216.1902783
67,0000067.bin,10528657850.097063
68,0000068.bin,15596088178.579285
69,0000069.bin,14590886012.28423
70,0000070.bin,6836442165.09407
71,0000071.bin,
72,0000072.bin,17117012411.386194
73,0000073.bin,
74,0000074.bin,11855844.017687408
75,0000075.bin,16360477286.545317
76,0000076.bin,13615434798.479599
77,0000077.bin,103966607.00479259
78,0000078.bin,
79,0000079.bin,2828065570.462336
80,0000080.bin,30714323.944319084
81,0000081.bin,78057407.6433913
82,0000082.bin,
83,0000083.bin,
84,0000084.bin,25781390.73390269
85,0000085.bin,8725219851.317305
86,0000086.bin,
87,0000087.bin,
88,0000088.bin,10886814359.480822
89,0000089.bin,7237499303.197085
90,0000090.bin,6894744002.674807
91,0000091.bin,4197415324.648169
92,0000092.bin,12407857756.817633
93,0000093.bin,
94,0000094.bin,
95,0000095.bin,71700822.59743612
96,0000096.bin,
97,0000097.bin,
98,0000098.bin,238780002.86302054
99,0000099.bin,6705383626.303484
100,0000100.bin,130312583.59419312
101,0000101.bin,
102,0000102.bin,4490544764.783377
103,0000103.bin,12002741887.13747
104,0000104.bin,14685776.639944073
105,0000105.bin,52301317.1421124
106,0000106.bin,
107,0000107.bin,15529076740.512634
108,0000108.bin,14185732391.276476
109,0000109.bin,14003804684.782827
110,0000110.bin,
111,0000111.bin,
112,0000112.bin,805053268.4948555
113,0000113.bin,89182481.91616218
114,0000114.bin,
115,0000115.bin,38638236.58382016
116,0000116.bin,11393209134.51512
117,0000117.bin,157985347.70560247
118,0000118.bin,35240006.73514557
119,0000119.bin,11330647808.077253
120,0000120.bin,
121,0000121.bin,8655719711.035507
122,0000122.bin,
123,0000123.bin,1561725443.449129
124,0000124.bin,1148247436.4758298
125,0000125.bin,1414643050.2461476
126,0000126.bin,5340102835.08423
127,0000127.bin,54684339.84526582
128,0000128.bin,11540744315.01069
129,0000129.bin,75804177.84931582
130,0000130.bin,55665005.473122515
131,0000131.bin,771816378.208336
132,0000132.bin,
133,0000133.bin,18039991089.091747
134,0000134.bin,8541635088.854127
135,0000135.bin,7561077167.0451355
136,0000136.bin,1174593212.6540582
137,0000137.bin,11697671.212476516
138,0000138.bin,97045915.25806394
139,0000139.bin,41768628.46392409
140,0000140.bin,204114806.66892973
141,0000141.bin,73796271.72335376
142,0000142.bin,1709144043.4602187
143,0000143.bin,263338684.63216746
144,0000144.bin,6345657861.527767
145,0000145.bin,1931159910.651717
146,0000146.bin,13820086982.288586
147,0000147.bin,
148,0000148.bin,32704195.139022756
149,0000149.bin,67576256.4923447
150,0000150.bin,11222638084.353617
151,0000151.bin,
152,0000152.bin,120699193.28249434
153,0000153.bin,7924174586.097876
154,0000154.bin,104901079.31582417
155,0000155.bin,36320042.30597219
156,0000156.bin,9314920633.233383
157,0000157.bin,97704549.1842745
158,0000158.bin,1881898843.0068777
159,0000159.bin,11208471922.530613
160,0000160.bin,5773706946.224101
161,0000161.bin,253102563.95253423
162,0000162.bin,8518565326.493339
163,0000163.bin,18600632.000240877
164,0000164.bin,12278184453.866674
165,0000165.bin,
166,0000166.bin,17879317005.122738
167,0000167.bin,
168,0000168.bin,27257830.393679667
169,0000169.bin,552518385.1783553
170,0000170.bin,13641116.781238705
171,0000171.bin,17511335.51499715
172,0000172.bin,15809141232.486515
173,0000173.bin,2714593218.316273
174,0000174.bin,727986537.7772661
175,0000175.bin,10872538377.271954
176,0000176.bin,72336762.6277272
177,0000177.bin,1232216825.6793923
178,0000178.bin,5666704382.05899
179,0000179.bin,50584178.39201933
180,0000180.bin,68146047.93589038
181,0000181.bin,36625066.66440968
182,0000182.bin,20555507666.288807
183,0000183.bin,251371647.01536164
184,0000184.bin,4625918549.69418
185,0000185.bin,12656634.359290147
186,0000186.bin,10233944.416325456
187,0000187.bin,3850734756.889667
188,0000188.bin,14011178651.57343
189,0000189.bin,780568568.6849449
190,0000190.bin,27151227.262085274
191,0000191.bin,12759458.18075749
192,0000192.bin,
193,0000193.bin,
194,0000194.bin,273021221.72343713
195,0000195.bin,13521131827.096682
196,0000196.bin,
197,0000197.bin,
198,0000198.bin,12815071.028075425
199,0000199.bin,22091781.4938546
